"City","CompanyName","ContactName","Relationship"
"Aachen","Drachenblut Delikatessen","Sven Ottlieb","Customers"
"Albuquerque","Rattlesnake Canyon Grocery","Paula Wilson","Customers"
"Anchorage","Old World Delicatessen","Rene Phillips","Customers"
"Ann Arbor","Grandma Kelly's Homestead","Regina Murphy","Suppliers"
"Annecy","Gai pâturage","Eliane Noz","Suppliers"
"Barcelona","Galería del gastrónomo","Eduardo Saavedra","Customers"
"Barquisimeto","LILA-Supermercado","Carlos González","Customers"
"Bend","Bigfoot Breweries","Cheryl Saylor","Suppliers"
"Bergamo","Magazzini Alimentari Riuniti","Giovanni Rovelli","Customers"
"Berlin","Alfreds Futterkiste","Maria Anders","Customers"
"Berlin","Heli Süßwaren GmbH & Co. KG","Petra Winkler","Suppliers"
"Bern","Chop-suey Chinese","Yang Wang","Customers"
"Boise","Save-a-lot Markets","Jose Pavarotti","Customers"
"Boston","New England Seafood Cannery","Robb Merchant","Suppliers"
"Brandenburg","Königlich Essen","Philip Cramer","Customers"
"Bruxelles","Maison Dewey","Catherine Dewey","Customers"
"Bräcke","Folk och fä HB","Maria Larsson","Customers"
"Buenos Aires","Cactus Comidas para llevar","Patricio Simpson","Customers"
"Buenos Aires","Océano Atlántico Ltda.","Yvonne Moncada","Customers"
"Buenos Aires","Rancho grande","Sergio Gutiérrez","Customers"
"Butte","The Cracker Box","Liu Wong","Customers"
"Campinas","Gourmet Lanchonetes","André Fonseca","Customers"
"Caracas","GROSELLA-Restaurante","Manuel Pereira","Customers"
"Charleroi","Suprêmes délices","Pascale Cartrain","Customers"
"Cork","Hungry Owl All-Night Grocers","Patricia McKenna","Customers"
"Cowes","Island Trading","Helen Bennett","Customers"
"Cunewalde","QUICK-Stop","Horst Kloss","Customers"
"Cuxhaven","Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Suppliers"
"Elgin","Hungry Coyote Import Store","Yoshi Latimer","Customers"
"Eugene","Great Lakes Food Market","Howard Snyder","Customers"
"Frankfurt","Plutzer Lebensmittelgroßmärkte AG","Martin Bein","Suppliers"
"Frankfurt a.M.","Lehmanns Marktstand","Renate Messner","Customers"
"Genève","Richter Supermarkt","Michael Holz","Customers"
"Graz","Ernst Handel","Roland Mendel","Customers"
"Göteborg","PB Knäckebröd AB","Lars Peterson","Suppliers"
"Helsinki","Wilman Kala","Matti Karttunen","Customers"
"I. de Margarita","LINO-Delicateses","Felipe Izquierdo","Customers"
"Kirkland","Trail's Head Gourmet Provisioners","Helvetius Nagy","Customers"
"Kobenhavn","Simons bistro","Jytte Petersen","Customers"
"Köln","Ottilies Käseladen","Henriette Pfalzheim","Customers"
"Lander","Split Rail Beer & Ale","Art Braunschweiger","Customers"
"Lappeenranta","Karkki Oy","Anne Heikkonen","Suppliers"
"Leipzig","Morgenstern Gesundkost","Alexander Feuer","Customers"
"Lille","Folies gourmandes","Martine Rancé","Customers"
"Lisboa","Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Customers"
"Lisboa","Princesa Isabel Vinhos","Isabel de Castro","Customers"
"London","Around the Horn","Thomas Hardy","Customers"
"London","B's Beverages","Victoria Ashworth","Customers"
"London","Consolidated Holdings","Elizabeth Brown","Customers"
"London","Eastern Connection","Ann Devon","Customers"
"London","Exotic Liquids","Charlotte Cooper","Suppliers"
"London","North/South","Simon Crowther","Customers"
"London","Seven Seas Imports","Hari Kumar","Customers"
"Luleå","Berglunds snabbköp","Christina Berglund","Customers"
"Lyngby","Lyngbysild","Niels Petersen","Suppliers"
"Lyon","Victuailles en stock","Mary Saveley","Customers"
"Madrid","Bólido Comidas preparadas","Martín Sommer","Customers"
"Madrid","FISSA Fabrica Inter. Salchichas S.A.","Diego Roel","Customers"
"Madrid","Romero y tomillo","Alejandra Camino","Customers"
"Manchester","Specialty Biscuits, Ltd.","Peter Wilson","Suppliers"
"Mannheim","Blauer See Delikatessen","Hanna Moos","Customers"
"Marseille","Bon app'","Laurence Lebihan","Customers"
"Melbourne","Pavlova, Ltd.","Ian Devling","Suppliers"
"Montceau","Escargots Nouveaux","Marie Delamare","Suppliers"
"Montréal","Ma Maison","Jean-Guy Lauzon","Suppliers"
"Montréal","Mère Paillarde","Jean Fresnière","Customers"
"México D.F.","Ana Trujillo Emparedados y helados","Ana Trujillo","Customers"
"México D.F.","Antonio Moreno Taquería","Antonio Moreno","Customers"
"México D.F.","Centro comercial Moctezuma","Francisco Chang","Customers"
"México D.F.","Pericles Comidas clásicas","Guillermo Fernández","Customers"
"México D.F.","Tortuga Restaurante","Miguel Angel Paolino","Customers"
"München","Frankenversand","Peter Franken","Customers"
"Münster","Toms Spezialitäten","Karin Josephs","Customers"
"Nantes","Du monde entier","Janine Labrune","Customers"
"Nantes","France restauration","Carine Schmitt","Customers"
"New Orleans","New Orleans Cajun Delights","Shelley Burke","Suppliers"
"Osaka","Mayumi's","Mayumi Ohno","Suppliers"
"Oulu","Wartian Herkku","Pirkko Koskitalo","Customers"
"Oviedo","Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra","Suppliers"
"Paris","Aux joyeux ecclésiastiques","Guylène Nodier","Suppliers"
"Paris","Paris spécialités","Marie Bertrand","Customers"
"Paris","Spécialités du monde","Dominique Perrier","Customers"
"Portland","Lonesome Pine Restaurant","Fran Wilson","Customers"
"Portland","The Big Cheese","Liz Nixon","Customers"
"Ravenna","Formaggi Fortini s.r.l.","Elio Rossi","Suppliers"
"Reggio Emilia","Reggiani Caseifici","Maurizio Moroni","Customers"
"Reims","Vins et alcools Chevalier","Paul Henriot","Customers"
"Resende","Wellington Importadora","Paula Parente","Customers"
"Rio de Janeiro","Hanari Carnes","Mario Pontes","Customers"
"Rio de Janeiro","Que Delícia","Bernardo Batista","Customers"
"Rio de Janeiro","Ricardo Adocicados","Janete Limeira","Customers"
"Salerno","Pasta Buttini s.r.l.","Giovanni Giudici","Suppliers"
"Salzburg","Piccolo und mehr","Georg Pipps","Customers"
"San Cristóbal","HILARION-Abastos","Carlos Hernández","Customers"
"San Francisco","Let's Stop N Shop","Jaime Yorres","Customers"
"Sandvika","Norske Meierier","Beate Vileid","Suppliers"
"Sao Paulo","Comércio Mineiro","Pedro Afonso","Customers"
"Sao Paulo","Familia Arquibaldo","Aria Cruz","Customers"
"Sao Paulo","Queen Cozinha","Lúcia Carvalho","Customers"
"Sao Paulo","Refrescos Americanas LTDA","Carlos Diaz","Suppliers"
"Sao Paulo","Tradição Hipermercados","Anabela Domingues","Customers"
"Seattle","White Clover Markets","Karl Jablonski","Customers"
"Sevilla","Godos Cocina Típica","José Pedro Freyre","Customers"
"Singapore","Leka Trading","Chandra Leka","Suppliers"
"Stavern","Santé Gourmet","Jonas Bergulfsen","Customers"
"Ste-Hyacinthe","Forêts d'érables","Chantal Goulet","Suppliers"
"Stockholm","Svensk Sjöföda AB","Michael Björn","Suppliers"
"Strasbourg","Blondesddsl père et fils","Frédérique Citeaux","Customers"
"Stuttgart","Die Wandernde Kuh","Rita Müller","Customers"
"Sydney","G'day, Mate","Wendy Mackenzie","Suppliers"
"Tokyo","Tokyo Traders","Yoshi Nagase","Suppliers"
"Torino","Franchi S.p.A.","Paolo Accorti","Customers"
"Toulouse","La maison d'Asie","Annette Roulet","Customers"
"Tsawassen","Bottom-Dollar Markets","Elizabeth Lincoln","Customers"
"Vancouver","Laughing Bacchus Wine Cellars","Yoshi Tannamuri","Customers"
"Versailles","La corne d'abondance","Daniel Tonini","Customers"
"Walla Walla","Lazy K Kountry Store","John Steel","Customers"
"Warszawa","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Customers"
"Zaandam","Zaanse Snoepfabriek","Dirk Luchte","Suppliers"
"Århus","Vaffeljernet","Palle Ibsen","Customers"
